Choice ID Mapping: {0: 'GLIPIZIDE', 1: 'INSULIN GLARGINE', 2: 'METFORMIN', 3: 'SEMAGLUTIDE'}

                          MNLogit Regression Results                          
==============================================================================
Dep. Variable:                 choice   No. Observations:                11263
Model:                        MNLogit   Df Residuals:                    11203
Method:                           MLE   Df Model:                           57
Date:                Thu, 03 Apr 2025   Pseudo R-squ.:                 0.04024
Time:                        22:20:07   Log-Likelihood:                -11497.
converged:                      False   LL-Null:                       -11979.
Covariance Type:            nonrobust   LLR p-value:                4.962e-165
==============================================================================
  choice=1       coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.7772      0.654     -1.189      0.235      -2.059       0.504
AGE22X        -0.1412      0.045     -3.126      0.002      -0.230      -0.053
FAMINC22       0.1085      0.080      1.359      0.174      -0.048       0.265
SEX_2         -0.0465      0.076     -0.608      0.543      -0.196       0.103
RACEV1X_2      0.2859      0.099      2.882      0.004       0.091       0.480
RACEV1X_3     -1.2760      0.319     -4.004      0.000      -1.901      -0.651
RACEV1X_4     -1.1742      0.248     -4.732      0.000      -1.661      -0.688
RACEV1X_6      0.6753      0.266      2.535      0.011       0.153       1.197
MARRY22X_2     0.2199      0.119      1.852      0.064      -0.013       0.453
MARRY22X_3     0.3526      0.103      3.416      0.001       0.150       0.555
MARRY22X_4    -0.3206      0.179     -1.794      0.073      -0.671       0.030
MARRY22X_5    -0.1119      0.117     -0.958      0.338      -0.341       0.117
POVCAT22_2    -0.1958      0.151     -1.295      0.195      -0.492       0.101
POVCAT22_3    -0.2552      0.114     -2.243      0.025      -0.478      -0.032
POVCAT22_4    -0.0840      0.114     -0.739      0.460      -0.307       0.139
POVCAT22_5    -0.3468      0.188     -1.845      0.065      -0.715       0.022
REGION22_1     1.6966      0.653      2.597      0.009       0.416       2.977
REGION22_2     1.3835      0.650      2.127      0.033       0.109       2.658
REGION22_3     1.1300      0.649      1.741      0.082      -0.142       2.402
REGION22_4     1.1669      0.652      1.791      0.073      -0.110       2.444
------------------------------------------------------------------------------
  choice=2       coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.1595      0.524     -0.304      0.761      -1.187       0.868
AGE22X        -0.2570      0.038     -6.757      0.000      -0.332      -0.182
FAMINC22       0.1455      0.065      2.237      0.025       0.018       0.273
SEX_2          0.2036      0.065      3.150      0.002       0.077       0.330
RACEV1X_2      0.0203      0.087      0.232      0.816      -0.151       0.191
RACEV1X_3     -0.2715      0.193     -1.405      0.160      -0.650       0.107
RACEV1X_4     -0.1560      0.153     -1.019      0.308      -0.456       0.144
RACEV1X_6      0.5561      0.245      2.272      0.023       0.076       1.036
MARRY22X_2    -0.0092      0.100     -0.092      0.927      -0.206       0.187
MARRY22X_3     0.0108      0.089      0.122      0.903      -0.163       0.185
MARRY22X_4    -0.6879      0.146     -4.716      0.000      -0.974      -0.402
MARRY22X_5    -0.4132      0.098     -4.209      0.000      -0.606      -0.221
POVCAT22_2     0.1647      0.127      1.297      0.195      -0.084       0.414
POVCAT22_3    -0.1197      0.097     -1.239      0.215      -0.309       0.070
POVCAT22_4     0.1345      0.097      1.384      0.166      -0.056       0.325
POVCAT22_5     0.4001      0.153      2.612      0.009       0.100       0.700
REGION22_1     1.8435      0.525      3.512      0.000       0.815       2.872
REGION22_2     1.8809      0.521      3.607      0.000       0.859       2.903
REGION22_3     1.7281      0.520      3.322      0.001       0.709       2.748
REGION22_4     1.7787      0.522      3.405      0.001       0.755       2.803
------------------------------------------------------------------------------
  choice=3       coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------
const        -19.5254   1146.274     -0.017      0.986   -2266.182    2227.131
AGE22X        -0.5436      0.051    -10.723      0.000      -0.643      -0.444
FAMINC22       0.2307      0.074      3.119      0.002       0.086       0.376
SEX_2          0.2463      0.089      2.779      0.005       0.073       0.420
RACEV1X_2      0.5605      0.116      4.849      0.000       0.334       0.787
RACEV1X_3     -1.2127      0.402     -3.018      0.003      -2.000      -0.425
RACEV1X_4     -1.3226      0.272     -4.859      0.000      -1.856      -0.789
RACEV1X_6      0.5043      0.297      1.696      0.090      -0.079       1.087
MARRY22X_2     0.2658      0.142      1.875      0.061      -0.012       0.544
MARRY22X_3     0.1701      0.124      1.376      0.169      -0.072       0.412
MARRY22X_4    -0.0572      0.204     -0.280      0.779      -0.457       0.343
MARRY22X_5    -0.4944      0.138     -3.594      0.000      -0.764      -0.225
POVCAT22_2     0.8832      0.192      4.599      0.000       0.507       1.260
POVCAT22_3     0.7678      0.151      5.081      0.000       0.472       1.064
POVCAT22_4     0.7633      0.147      5.187      0.000       0.475       1.052
POVCAT22_5     1.6309      0.197      8.262      0.000       1.244       2.018
REGION22_1    18.6230   1146.274      0.016      0.987   -2228.034    2265.280
REGION22_2    18.2445   1146.274      0.016      0.987   -2228.412    2264.901
REGION22_3    18.1711   1146.274      0.016      0.987   -2228.485    2264.828
REGION22_4    18.3100   1146.274      0.016      0.987   -2228.347    2264.967
==============================================================================
