Choice ID Mapping: {0: 'GLIPIZIDE', 1: 'INSULIN GLARGINE', 2: 'METFORMIN', 3: 'SEMAGLUTIDE'}

                          MNLogit Regression Results                          
==============================================================================
Dep. Variable:                 choice   No. Observations:                11263
Model:                        MNLogit   Df Residuals:                    11200
Method:                           MLE   Df Model:                           60
Date:                Thu, 03 Apr 2025   Pseudo R-squ.:                  0.1440
Time:                        18:29:48   Log-Likelihood:                -10254.
converged:                      False   LL-Null:                       -11979.
Covariance Type:            nonrobust   LLR p-value:                     0.000
==============================================================================
  choice=1       coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.6553      0.662     -0.990      0.322      -1.953       0.642
AGE22X        -0.2520      0.047     -5.316      0.000      -0.345      -0.159
FAMINC22       0.0652      0.082      0.791      0.429      -0.096       0.227
price          2.8981      0.173     16.789      0.000       2.560       3.236
SEX_2         -0.0580      0.080     -0.726      0.468      -0.215       0.099
RACEV1X_2      0.4043      0.103      3.931      0.000       0.203       0.606
RACEV1X_3     -1.3189      0.340     -3.881      0.000      -1.985      -0.653
RACEV1X_4     -1.2440      0.275     -4.527      0.000      -1.783      -0.705
RACEV1X_6      0.8047      0.270      2.985      0.003       0.276       1.333
MARRY22X_2     0.1439      0.126      1.140      0.254      -0.104       0.391
MARRY22X_3     0.4008      0.107      3.734      0.000       0.190       0.611
MARRY22X_4    -0.3871      0.187     -2.073      0.038      -0.753      -0.021
MARRY22X_5    -0.1601      0.122     -1.311      0.190      -0.399       0.079
POVCAT22_2    -0.2643      0.157     -1.688      0.091      -0.571       0.043
POVCAT22_3    -0.4500      0.119     -3.796      0.000      -0.682      -0.218
POVCAT22_4    -0.5785      0.120     -4.812      0.000      -0.814      -0.343
POVCAT22_5    -0.9694      0.198     -4.908      0.000      -1.357      -0.582
REGION22_1     2.0778      0.661      3.146      0.002       0.783       3.372
REGION22_2     1.6331      0.657      2.484      0.013       0.344       2.922
REGION22_3     1.3429      0.656      2.048      0.041       0.058       2.628
REGION22_4     1.5074      0.659      2.289      0.022       0.217       2.798
------------------------------------------------------------------------------
  choice=2       coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------
const         -0.3337      0.528     -0.632      0.527      -1.368       0.701
AGE22X        -0.2619      0.038     -6.809      0.000      -0.337      -0.186
FAMINC22       0.1635      0.068      2.408      0.016       0.030       0.297
price         -0.6738      0.178     -3.786      0.000      -1.023      -0.325
SEX_2          0.2032      0.065      3.136      0.002       0.076       0.330
RACEV1X_2      0.0069      0.088      0.078      0.938      -0.165       0.178
RACEV1X_3     -0.2283      0.193     -1.185      0.236      -0.606       0.149
RACEV1X_4     -0.1674      0.153     -1.092      0.275      -0.468       0.133
RACEV1X_6      0.5523      0.245      2.255      0.024       0.072       1.032
MARRY22X_2     0.0096      0.101      0.095      0.924      -0.188       0.207
MARRY22X_3     0.0328      0.089      0.369      0.712      -0.142       0.207
MARRY22X_4    -0.6912      0.147     -4.716      0.000      -0.978      -0.404
MARRY22X_5    -0.4020      0.099     -4.071      0.000      -0.595      -0.208
POVCAT22_2     0.1819      0.127      1.429      0.153      -0.068       0.431
POVCAT22_3    -0.1127      0.097     -1.162      0.245      -0.303       0.077
POVCAT22_4     0.1625      0.099      1.646      0.100      -0.031       0.356
POVCAT22_5     0.4337      0.157      2.765      0.006       0.126       0.741
REGION22_1     1.8704      0.527      3.552      0.000       0.838       2.902
REGION22_2     1.9101      0.523      3.651      0.000       0.885       2.936
REGION22_3     1.7747      0.522      3.399      0.001       0.751       2.798
REGION22_4     1.8063      0.524      3.444      0.001       0.778       2.834
------------------------------------------------------------------------------
  choice=3       coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------
const        -20.9870   2816.993     -0.007      0.994   -5542.192    5500.218
AGE22X        -0.6429      0.053    -12.109      0.000      -0.747      -0.539
FAMINC22       0.1438      0.079      1.818      0.069      -0.011       0.299
price          2.8826      0.173     16.662      0.000       2.543       3.222
SEX_2          0.2048      0.092      2.217      0.027       0.024       0.386
RACEV1X_2      0.7435      0.119      6.234      0.000       0.510       0.977
RACEV1X_3     -1.6297      0.455     -3.585      0.000      -2.521      -0.739
RACEV1X_4     -1.2679      0.286     -4.431      0.000      -1.829      -0.707
RACEV1X_6      0.6084      0.303      2.006      0.045       0.014       1.203
MARRY22X_2     0.0697      0.150      0.465      0.642      -0.224       0.364
MARRY22X_3     0.1259      0.128      0.984      0.325      -0.125       0.377
MARRY22X_4    -0.1819      0.211     -0.863      0.388      -0.595       0.231
MARRY22X_5    -0.6617      0.144     -4.609      0.000      -0.943      -0.380
POVCAT22_2     0.8041      0.196      4.104      0.000       0.420       1.188
POVCAT22_3     0.5987      0.155      3.873      0.000       0.296       0.902
POVCAT22_4     0.3085      0.153      2.019      0.043       0.009       0.608
POVCAT22_5     1.0910      0.208      5.253      0.000       0.684       1.498
REGION22_1    20.5874   2816.993      0.007      0.994   -5500.617    5541.792
REGION22_2    20.1728   2816.993      0.007      0.994   -5501.032    5541.378
REGION22_3    19.9781   2816.993      0.007      0.994   -5501.227    5541.183
REGION22_4    20.2804   2816.993      0.007      0.994   -5500.924    5541.485
==============================================================================
