Year,GEO,Y,K,L,WAGE,alpha,s_i,total_s,total_L,total_K,l_eff,k_eff
2015,Newfoundland and Labrador,37475,60897,0.2374,886292,0.3643520415554808,106811785508.14375,5566934656292.936,17.8676,2417360,0.3428224645295503,46381.456538939405
2016,Newfoundland and Labrador,38590,67134,0.2305,886616,0.3670353143087226,105419558233.36417,5269198864082.891,18.1041,2426128,0.3622042502935271,48538.9427453524
2017,Newfoundland and Labrador,35557,69613,0.2269,945328,0.3465757704504966,137367423720.05013,8949068949235.055,18.6196,2447126,0.28580922744108184,37563.169536992464
2018,Newfoundland and Labrador,34249,70506,0.231,986268,0.3360735856016932,154971514199.55142,12018085848964.45,18.893,2475676,0.2436225580818603,31923.49124553367
2019,Newfoundland and Labrador,35074,71795,0.2263,1034668,0.3124307226113422,307587018864.06464,21042033598460.055,19.1864,2504801,0.280461845625291,36614.53484677034
2020,Newfoundland and Labrador,33216,71947,0.2266999999999999,1038524,0.2801528244944319,589634862695.5466,41098283505812.96,18.5917,2506634,0.2667341198136968,35962.54316093128
2021,Newfoundland and Labrador,33522,70852,0.2282,1139588,0.2575783700863561,1071763291858.198,77787763265986.27,19.5089,2522305,0.268794499374365,34752.4314412631
2022,Newfoundland and Labrador,34244,69854,0.2398,1227824,0.2258913822887813,2373337637753.8706,171463786749622.88,19.9984,2547967,0.27681037678331455,35268.006705609034
2023,Newfoundland and Labrador,35482,69612,0.241,1303740,0.1870495612060504,6968822954424.193,417462611115119.94,20.532799999999998,2578537,0.3427599122622806,43044.25679327925
2015,Prince Edward Island,7316,5295,0.0729,886292,0.3643520415554808,21136574601.59884,5566934656292.936,17.8676,2417360,0.06783982275139798,9178.248557518606
2016,Prince Edward Island,7561,5279,0.0728,886616,0.3670353143087226,22058866040.257885,5269198864082.891,18.1041,2426128,0.07579063288000253,10156.69249329681
2017,Prince Edward Island,7950,5404,0.0752,945328,0.3465757704504966,38227595281.05334,8949068949235.055,18.6196,2447126,0.0795370487290683,10453.349154018884
2018,Prince Edward Island,8123,5509,0.0757999999999999,986268,0.3360735856016932,50376999038.15212,12018085848964.45,18.893,2475676,0.07919502779303399,10377.453534459704
