Year,GEO,Y,K,L,WAGE,alpha,s_i,total_s,total_L,total_K,l_eff,k_eff,Y_eff,gap,labor_gap,capital_gap,TFPR,labor_productivity,capital_productivity
2015,Newfoundland and Labrador,37475,60897,0.2374,886292,0.3643520415554808,106811785508.14375,5566934656292.936,17.8676,2417360,0.3428224645295503,46381.456538939405,40987.01413929394,0.0937161878397315,0.4440710384564039,-0.2383622093216512,1688.2578070798172,157855.9393428812,0.615383352217679
2016,Newfoundland and Labrador,38590,67134,0.2305,886616,0.3670353143087226,105419558233.36417,5269198864082.891,18.1041,2426128,0.3622042502935271,48538.9427453524,43135.64166636572,0.1177932538576241,0.5713850338113973,-0.2769841995806537,1652.8110461646954,167418.65509761387,0.5748205082372568
2017,Newfoundland and Labrador,35557,69613,0.2269,945328,0.3465757704504966,137367423720.05013,8949068949235.055,18.6196,2447126,0.2858092274410818,37563.169536992464,34094.718383090985,-0.0411249997724502,0.2596263880171079,-0.4604000756038029,1965.5283883701477,156707.80079330102,0.5107810322784537
2018,Newfoundland and Labrador,34249,70506,0.231,986268,0.3360735856016932,154971514199.55142,12018085848964.45,18.893,2475676,0.2436225580818603,31923.49124553367,29361.34918788656,-0.1427092998952799,0.0546431085794818,-0.5472230555479863,2127.168976691498,148264.06926406926,0.48576007715655406
2019,Newfoundland and Labrador,35074,71795,0.2263,1034668,0.3124307226113422,307587018864.06464,21042033598460.05,19.1864,2504801,0.280461845625291,36614.53484677034,33634.86575617214,-0.0410313692144568,0.2393364808894872,-0.4900127467543654,2961.361000331574,154988.95271763147,0.4885298419109966
2020,Newfoundland and Labrador,33216,71947,0.2266999999999999,1038524,0.2801528244944319,589634862695.5466,41098283505812.96,18.5917,2506634,0.2667341198136968,35962.54316093128,31549.572338707934,-0.0501694262190529,0.176595146950582,-0.5001522904230714,4213.256611095529,146519.62946625502,0.4616731760879536
2021,Newfoundland and Labrador,33522,70852,0.2282,1139588,0.2575783700863561,1071763291858.198,77787763265986.27,19.5089,2522305,0.268794499374365,34752.4314412631,32166.136488807915,-0.040446975454689,0.1778900060226337,-0.5095066978876659,5654.37331531907,146897.45836985103,0.4731270818043245
2022,Newfoundland and Labrador,34244,69854,0.2398,1227824,0.2258913822887813,2373337637753.8706,171463786749622.88,19.9984,2547967,0.2768103767833145,35268.006705609034,33270.167789058,-0.0284380391000468,0.154338518696057,-0.4951182937897753,8325.062815622701,142802.3352793995,0.49022246399633523
2023,Newfoundland and Labrador,35482,69612,0.241,1303740,0.1870495612060504,6968822954424.193,417462611115120.0,20.5328,2578537,0.3427599122622806,43044.25679327925,40446.50240187844,0.1399160814463231,0.4222402998434879,-0.3816546458472785,14014.437459785895,147228.21576763486,0.5097109693730966
2015,Prince Edward Island,7316,5295,0.0729,886292,0.3643520415554808,21136574601.59884,5566934656292.936,17.8676,2417360,0.0678398227513979,9178.248557518606,8110.763039214625,0.1086335482797464,-0.0694125822853513,0.7333802752631927,1699.732016699901,100356.65294924553,1.3816808309726156
