"REF_DATE","GEO","DGUID","Prices","Sector","Flows and stocks","Assets","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-01","Canada","2016A000011124","2017 constant prices","Total all sectors","Geometric end-year net stock","Total assets","Dollars","81","millions","6","v103844278","1.2.1.3.1","4645518","","","","0"
"2015-04","Canada","2016A000011124","2017 constant prices","Total all sectors","Geometric end-year net stock","Total assets","Dollars","81","millions","6","v103844278","1.2.1.3.1","4673675","","","","0"
"2015-07","Canada","2016A000011124","2017 constant prices","Total all sectors","Geometric end-year net stock","Total assets","Dollars","81","millions","6","v103844278","1.2.1.3.1","4703621","","","","0"
"2015-10","Canada","2016A000011124","2017 constant prices","Total all sectors","Geometric end-year net stock","Total assets","Dollars","81","millions","6","v103844278","1.2.1.3.1","4729047","","","","0"
"2016-01","Canada","2016A000011124","2017 constant prices","Total all sectors","Geometric end-year net stock","Total assets","Dollars","81","millions","6","v103844278","1.2.1.3.1","4736992","","","","0"
"2016-04","Canada","2016A000011124","2017 constant prices","Total all sectors","Geometric end-year net stock","Total assets","Dollars","81","millions","6","v103844278","1.2.1.3.1","4757370","","","","0"
"2016-07","Canada","2016A000011124","2017 constant prices","Total all sectors","Geometric end-year net stock","Total assets","Dollars","81","millions","6","v103844278","1.2.1.3.1","4783172","","","","0"
"2016-10","Canada","2016A000011124","2017 constant prices","Total all sectors","Geometric end-year net stock","Total assets","Dollars","81","millions","6","v103844278","1.2.1.3.1","4801139","","","","0"
"2017-01","Canada","2016A000011124","2017 constant prices","Total all sectors","Geometric end-year net stock","Total assets","Dollars","81","millions","6","v103844278","1.2.1.3.1","4810417","","","","0"
"2017-04","Canada","2016A000011124","2017 constant prices","Total all sectors","Geometric end-year net stock","Total assets","Dollars","81","millions","6","v103844278","1.2.1.3.1","4833121","","","","0"
"2017-07","Canada","2016A000011124","2017 constant prices","Total all sectors","Geometric end-year net stock","Total assets","Dollars","81","millions","6","v103844278","1.2.1.3.1","4861336","","","","0"
"2017-10","Canada","2016A000011124","2017 constant prices","Total all sectors","Geometric end-year net stock","Total assets","Dollars","81","millions","6","v103844278","1.2.1.3.1","4889199","","","","0"
"2018-01","Canada","2016A000011124","2017 constant prices","Total all sectors","Geometric end-year net stock","Total assets","Dollars","81","millions","6","v103844278","1.2.1.3.1","4904524","","","","0"
