Year,GEO,Y,K,L,ln_Y,ln_K,ln_L,ln_A,TFP,Labor_Productivity,TFPR,z_i,K_e,L_e,K_Gap,L_Gap
2015,Newfoundland and Labrador,37475,236254,0.2762,10.531429322970798,12.37266277642959,-1.2866300380069453,7.766043806867959,2359.119669114039,135680.66618392468,2026.8147827907821,65798.23515003419,705784.2386415883,1.3990748694536166,-469530.23864158825,-1.1228748694536166
2016,Newfoundland and Labrador,38590,258499,0.2723,10.560748454531664,12.462647104451184,-1.3008508793024232,7.7786714204515635,2389.0986035322503,141718.69261843557,2050.194899135073,66995.96974487271,729319.6618354294,1.444739464907461,-470820.6618354294,-1.172439464907461
2017,Newfoundland and Labrador,35557,273956,0.2673,10.478892321614516,12.52072278853362,-1.3193836558372638,7.692622240835602,2192.115286378378,133022.8208005986,1879.553368600451,59246.40274862343,627418.3483484195,1.2554105994134221,-353462.34834841953,-0.9881105994134222
2018,Newfoundland and Labrador,34249,280320,0.2652,10.441412646183837,12.543687086730163,-1.3272710206704297,7.653877815251988,2108.8073195389884,129144.04223227753,1807.5039075576972,56056.26316085341,574938.2231595148,1.1498849852260111,-294618.22315951483,-0.8846849852260111
2019,Newfoundland and Labrador,35074,284767,0.2635,10.465215394229238,12.559426581019903,-1.33370191100072,7.677534631200532,2159.289758722955,133108.15939278936,1850.3174686242348,57983.08540227796,618874.1797276902,1.2456406365453234,-334107.1797276902,-0.9821406365453234
2020,Newfoundland and Labrador,33216,287416,0.2535,10.41078696652556,12.568685922615385,-1.3723914559508992,7.647571759202149,2095.550904162757,131029.58579881657,1794.742226385279,55553.53965201003,629468.1402421928,1.2469868573841028,-342052.1402421928,-0.9934868573841027
2021,Newfoundland and Labrador,33522,284603,0.2588999999999999,10.419957218687204,12.558850505692662,-1.3513133922246454,7.644834400758578,2089.822474161419,129478.5631517961,1790.4511909096625,55336.72107722741,593970.2607577118,1.20297897214349,-309367.26075771183,-0.9440789721434901
2022,Newfoundland and Labrador,34244,280549,0.2641,10.441266645862376,12.544503676745746,-1.3314274596790505,7.656413009852147,2114.1603390742875,129663.0064369557,1811.991934204116,56259.65057998651,596652.1620141652,1.217026253069266,-316103.1620141652,-0.9529262530692659
2023,Newfoundland and Labrador,35482,278562,0.2646,10.476780804620594,12.537395934757976,-1.3295360273012817,7.692705332308958,2192.2974400348926,134096.74981103552,1879.1491687145453,59253.435838744226,631364.2624586612,1.3129870850187328,-352802.2624586612,-1.048387085018733
2015,Prince Edward Island,7316,21321,0.0815,8.897819009510757,9.967447781495006,-2.50715225873532,7.704393640911791,2218.0720262867276,89766.87116564417,1930.894143620342,60251.13141651854,646283.275184163,1.2811262130175016,-624962.275184163,-1.1996262130175017
