Year,GEO,Y,K,L,WAGE,alpha,s_raw,s_i,A
2015,Newfoundland and Labrador,37475,60897,0.2762,908086.0655737706,0.3487213540527466,129443897749.24368,0.01754450263231241,19467.648980906324
2016,Newfoundland and Labrador,38590,67134,0.2723,899204.8681541582,0.3580479861143231,106712389498.57373,0.01770946494515193,18197.1399384946
2017,Newfoundland and Labrador,35557,69613,0.2673,945328.0,0.3465757704504966,110887498053.43706,0.013154373825341275,20351.861336787577
2018,Newfoundland and Labrador,34249,70506,0.2652,970736.2204724408,0.34652911968670597,99356548595.39734,0.011119483228732982,20750.9172025634
2019,Newfoundland and Labrador,35074,71795,0.2635,999679.2270531402,0.33568185759549973,139419119407.2318,0.01205879298452496,22612.027167413537
2020,Newfoundland and Labrador,33216,71947,0.2535,985316.8880455408,0.31703304031729784,198839064797.79877,0.012479267571065484,25163.48983678617
2021,Newfoundland and Labrador,33522,70852,0.2588999999999999,1041670.932358318,0.3213696253074554,179891612746.9683,0.010800296301189956,25538.28612121656
2022,Newfoundland and Labrador,34244,69854,0.2641,1055738.6070507308,0.33438639921649305,136096745466.83517,0.010349761334163567,23603.285974193826
2023,Newfoundland and Labrador,35482,69612,0.2646,1081044.776119403,0.3259117422935741,187025084666.12274,0.01191608675339493,25037.37156819634
2015,Prince Edward Island,7316,5295,0.0815,908086.0655737706,0.3487213540527466,25936867535.16085,0.0035154182518984493,19467.648980906324
2016,Prince Edward Island,7561,5279,0.0808,899204.8681541582,0.3580479861143231,23594589029.985466,0.003915642309999802,18197.1399384946
2017,Prince Edward Island,7950,5404,0.0824,945328.0,0.3465757704504966,33922109288.522736,0.004024115561794646,20351.861336787577
2018,Prince Edward Island,8123,5509,0.0845,970736.2204724408,0.34652911968670597,34586278395.546326,0.003870721638386127,20750.9172025634
2019,Prince Edward Island,8444,5614,0.0858,999679.2270531402,0.33568185759549973,47810876791.28074,0.004135311340983679,22612.027167413537
2020,Prince Edward Island,8375,5711,0.0853,985316.8880455408,0.31703304031729784,70340211773.93701,0.004414596923522084,25163.48983678617
2021,Prince Edward Island,9151,5925,0.0887,1041670.932358318,0.3213696253074554,77177864283.1625,0.004633589022983664,25538.28612121656
2022,Prince Edward Island,9315,6091,0.0912,1055738.6070507308,0.33438639921649305,57668008367.36475,0.00438548417283216,23603.285974193826
2023,Prince Edward Island,9401,6215,0.0962,1081044.776119403,0.3259117422935741,65724551068.47018,0.004187563683010535,25037.37156819634
