"REF_DATE","GEO","DGUID","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1029940","","","","0"
"2016-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1020836","","","","0"
"2016-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1022816","","","","0"
"2016-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1026748","","","","0"
"2016-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1035532","","","","0"
"2017-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1046532","","","","0"
"2017-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1058860","","","","0"
"2017-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1078692","","","","0"
"2017-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1095740","","","","0"
"2018-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1114100","","","","0"
"2018-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1121080","","","","0"
"2018-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1130008","","","","0"
"2018-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1142604","","","","0"
"2019-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1151640","","","","0"
"2019-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1167164","","","","0"
"2019-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1181868","","","","0"
"2019-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1198464","","","","0"
"2020-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1185424","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1085764","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1169480","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1203360","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1231196","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1247592","","","","0"
"2021-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1284224","","","","0"
"2021-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1314684","","","","0"
"2022-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1358480","","","","0"
"2022-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1380864","","","","0"
"2022-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1394360","","","","0"
"2022-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1414364","","","","0"
"2023-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62295549","1.1.1","1440360","","","","0"
